# Version: e6898994fd p-2024.3-push-33
# Command Line: /opt/coverity/analysis/2024.3.1/bin/cov-analyze --dir /builds/d9/bootcode/duanyue/coverity/GitLab_Coverity_5184_2556291_39273634 -c /opt/coverity/analysis/2024.3.1/config/arm/coverity_config.xml -sf /opt/coverity/analysis/2024.3.1/bin/license.dat --enable-fb --strip-path /builds/d9/bootcode/duanyue/ --coding-standard-config /opt/coverity/analysis/2024.3.1/config/coding-standards/misrac2012/misrac2012-mandatory-required.config
timer                                                                                                                                                                                                                                                                                                                                                         ms      calls
  MISRA_NO_ALLOC                                                                                                                                                                                                                                                                                                                                               0          1
  MISSING_BREAK                                                                                                                                                                                                                                                                                                                                                0          1
  MISSING_COMMA                                                                                                                                                                                                                                                                                                                                                0          1
  MISSING_RESTORE                                                                                                                                                                                                                                                                                                                                              0          1
  MISSING_RETURN                                                                                                                                                                                                                                                                                                                                               0          1
  MISSING_THROW                                                                                                                                                                                                                                                                                                                                                0          1
  MULTIPLE_INIT_SMART_PTRS                                                                                                                                                                                                                                                                                                                                     0          1
  NEGATIVE_RETURNS                                                                                                                                                                                                                                                                                                                                             0          1
  NESTING_INDENT_MISMATCH                                                                                                                                                                                                                                                                                                                                      0          1
  NO_EFFECT                                                                                                                                                                                                                                                                                                                                                    0          1
  NULL_RETURNS                                                                                                                                                                                                                                                                                                                                                 0          1
  ORM_LOAD_NULL_CHECK                                                                                                                                                                                                                                                                                                                                          0          1
  OVERFLOW_BEFORE_WIDEN                                                                                                                                                                                                                                                                                                                                        0          1
  OVERLAPPING_COPY_INTERNAL                                                                                                                                                                                                                                                                                                                                    0          1
  OVERRUN                                                                                                                                                                                                                                                                                                                                                      0          1
  OVERRUN_SYMBOLIC                                                                                                                                                                                                                                                                                                                                             0          1
  PASS_BY_VALUE                                                                                                                                                                                                                                                                                                                                                0          1
  PREDICTABLE_RANDOM_SEED                                                                                                                                                                                                                                                                                                                                      0          1
  PRINTF_ARGS                                                                                                                                                                                                                                                                                                                                                  0          1
